Time,UH,VH
2024-06-01 03:40:48,7.0,9.25
2024-06-01 03:55:51,7.25,9.5
2024-06-01 04:10:53,6.5,9.75
2024-06-01 04:25:55,6.75,10.0
2024-06-01 04:40:57,7.0,10.25
2024-06-01 04:55:58,5.5,10.5
2024-06-01 05:11:00,5.0,10.75
2024-06-01 05:26:01,4.5,11.0
2024-06-01 05:41:03,4.5,11.25
2024-06-01 05:56:04,4.75,11.5
2024-06-01 06:11:06,3.5,7.25
2024-06-01 06:26:07,3.25,3.5
2024-06-01 06:41:08,3.5,3.5
2024-06-01 06:56:10,3.5,3.75
2024-06-01 07:11:11,3.75,2.75
2024-06-01 07:26:13,4.0,3.0
2024-06-01 07:41:14,4.25,3.25
2024-06-01 07:56:16,4.5,1.0
2024-06-01 08:11:17,4.75,0.75
2024-06-01 08:26:18,5.0,1.0
2024-06-01 08:41:20,5.25,1.25
2024-06-01 08:56:21,5.5,1.5
2024-06-01 09:11:23,5.75,1.75
2024-06-01 09:26:25,6.0,1.25
2024-06-01 09:41:27,5.75,1.5
2024-06-01 09:56:28,6.0,1.75
2024-06-01 10:11:29,6.25,1.5
2024-06-01 10:26:30,3.25,1.5
2024-06-01 10:41:32,3.5,1.75
2024-06-01 10:56:33,3.75,1.75
2024-06-01 11:11:35,3.0,2.0
2024-06-01 11:26:36,3.25,2.25
2024-06-01 11:41:37,3.0,2.0
2024-06-01 11:56:39,3.25,2.25
2024-06-01 12:11:41,3.5,2.25
2024-06-01 12:26:42,3.75,2.5
2024-06-01 12:41:44,4.0,2.25
2024-06-01 12:56:45,4.25,2.5
2024-06-01 13:11:47,4.5,2.75
2024-06-01 13:26:49,4.75,3.0
2024-06-01 13:41:50,5.0,3.25
2024-06-01 13:56:52,5.25,3.5
2024-06-01 14:11:54,5.5,3.75
2024-06-01 14:26:55,5.75,4.0
2024-06-01 14:41:57,6.0,4.25
2024-06-01 14:56:58,4.5,4.5
2024-06-01 15:11:59,4.75,4.75
2024-06-01 15:27:01,5.0,3.5
2024-06-01 15:42:02,4.25,3.5
2024-06-01 15:57:04,4.5,3.75
2024-06-01 16:12:05,2.75,4.0
2024-06-01 16:27:06,3.0,4.0
2024-06-01 16:42:08,2.0,4.0
2024-06-01 16:57:10,2.25,4.0
2024-06-01 17:12:11,2.5,4.25
2024-06-01 17:27:13,2.75,4.5
2024-06-01 17:42:14,3.0,4.25
2024-06-01 17:57:16,1.75,4.25
2024-06-01 18:12:17,1.75,4.5
2024-06-01 18:27:19,2.0,4.75
2024-06-01 18:42:21,1.75,5.0
2024-06-01 18:57:22,2.0,4.25
2024-06-01 19:12:24,2.25,4.5
2024-06-01 19:27:26,1.75,4.75
2024-06-01 19:42:28,2.0,5.0
2024-06-01 19:57:30,2.25,5.25
2024-06-01 20:12:31,2.5,5.5
2024-06-01 20:27:33,2.75,5.75
2024-06-01 20:42:35,3.0,6.0
2024-06-01 20:57:36,3.25,6.25
2024-06-01 21:12:38,1.75,6.5
2024-06-01 21:27:40,2.0,6.5
2024-06-01 21:42:42,2.25,6.75
2024-06-01 21:57:44,2.5,7.0
2024-06-01 22:12:46,2.75,7.25
2024-06-01 22:27:48,3.0,7.5
2024-06-01 22:42:53,3.25,7.75
2024-06-01 22:57:54,3.5,8.0
2024-06-01 23:12:56,3.75,8.25
2024-06-01 23:27:57,4.0,8.5
2024-06-01 23:42:59,4.25,8.75
2024-06-01 23:58:01,4.5,9.0
2024-06-02 00:13:02,4.75,9.25
2024-06-02 00:28:03,5.0,9.5
2024-06-02 00:43:05,5.25,9.75
2024-06-02 00:58:06,5.5,10.0
2024-06-02 01:13:07,5.75,10.25
2024-06-02 01:28:09,6.0,10.5
2024-06-02 01:43:10,6.25,10.75
2024-06-02 01:58:13,6.5,11.0
2024-06-02 02:13:14,6.75,11.25
2024-06-02 02:28:15,7.0,11.5
2024-06-02 02:43:17,7.0,11.75
2024-06-02 02:58:18,7.25,12.0
2024-06-02 03:13:20,7.5,12.25
2024-06-02 03:28:21,7.75,12.5
2024-06-02 03:43:23,8.0,12.75
2024-06-02 03:58:24,8.25,13.0
2024-06-02 04:13:26,7.75,13.25
2024-06-02 04:28:27,6.75,13.5
2024-06-02 04:43:28,6.25,13.75
2024-06-02 04:58:30,6.5,14.0
2024-06-02 05:13:31,6.75,14.25
2024-06-02 05:28:33,3.25,14.5
2024-06-02 05:43:34,3.0,14.75
2024-06-02 05:58:36,3.25,15.0
2024-06-02 06:13:37,1.5,15.25
2024-06-02 06:28:39,1.5,15.5
2024-06-02 06:43:40,1.75,15.75
2024-06-02 06:58:42,2.0,5.5
2024-06-02 07:13:43,1.5,5.75
2024-06-02 07:28:45,1.75,6.0
2024-06-02 07:43:46,2.0,6.25
2024-06-02 07:58:48,2.25,6.5
2024-06-02 08:13:49,2.5,6.75
2024-06-02 08:28:50,2.75,7.0
2024-06-02 08:43:52,2.25,7.25
2024-06-02 08:58:53,2.5,7.5
2024-06-02 09:13:54,2.75,6.25
2024-06-02 09:28:56,3.0,5.5
2024-06-02 09:43:57,3.25,5.75
2024-06-02 09:58:59,2.5,3.25
2024-06-02 10:14:00,1.75,2.5
2024-06-02 10:29:01,2.0,2.5
2024-06-02 10:44:03,2.25,2.75
2024-06-02 10:59:04,2.5,2.25
2024-06-02 11:14:06,2.75,2.25
2024-06-02 11:29:07,3.0,2.5
2024-06-02 11:44:08,3.25,2.75
2024-06-02 11:59:10,3.5,3.0
2024-06-02 12:14:11,3.75,2.25
2024-06-02 12:29:12,4.0,2.5
2024-06-02 12:44:14,4.25,2.75
2024-06-02 12:59:16,3.5,2.5
2024-06-02 13:14:17,3.75,2.75
2024-06-02 13:29:18,4.0,3.0
2024-06-02 13:44:20,4.25,3.25
2024-06-02 13:59:22,4.5,3.5
2024-06-02 14:14:23,4.75,3.75
2024-06-02 14:29:25,5.0,3.75
2024-06-02 14:44:26,5.25,4.0
2024-06-02 14:59:27,5.5,4.25
2024-06-02 15:14:29,5.75,4.5
2024-06-02 15:29:31,6.0,4.75
2024-06-02 15:44:32,6.25,4.25
2024-06-02 15:59:33,6.5,4.5
2024-06-02 16:14:35,6.75,4.75
2024-06-02 16:29:36,7.0,5.0
2024-06-02 16:44:37,7.25,5.25
2024-06-02 16:59:39,7.0,5.5
2024-06-02 17:14:41,5.5,5.25
2024-06-02 17:29:42,5.0,5.5
2024-06-02 17:44:44,5.25,5.75
2024-06-02 17:59:45,4.0,6.0
2024-06-02 18:14:46,4.25,6.0
2024-06-02 18:29:48,4.5,6.25
2024-06-02 18:44:49,4.75,6.5
2024-06-02 18:59:51,4.25,6.75
2024-06-02 19:14:52,3.75,7.0
2024-06-02 19:29:54,4.0,7.25
2024-06-02 19:44:55,4.0,7.5
2024-06-02 19:59:57,2.0,7.75
2024-06-02 20:14:58,2.25,8.0
2024-06-02 20:30:00,2.5,8.25
2024-06-02 20:45:02,2.75,8.5
2024-06-02 21:00:03,3.0,8.75
2024-06-02 21:15:05,3.25,9.0
2024-06-02 21:30:06,3.5,9.25
2024-06-02 21:45:08,3.75,9.5
2024-06-02 22:00:09,4.0,9.75
2024-06-02 22:15:10,4.25,10.0
2024-06-02 22:30:12,4.25,10.25
2024-06-02 22:45:13,4.25,10.5
2024-06-02 23:00:14,4.5,10.75
2024-06-02 23:15:15,4.75,11.0
2024-06-02 23:30:17,5.0,11.25
2024-06-02 23:45:18,5.25,11.5
2024-06-03 00:00:19,5.5,11.75
2024-06-03 00:15:21,5.75,12.0
2024-06-03 00:30:22,6.0,12.25
2024-06-03 00:45:24,6.25,12.5
2024-06-03 01:00:25,6.5,12.75
2024-06-03 01:15:26,3.0,13.0
2024-06-03 01:30:28,3.25,13.25
2024-06-03 01:45:29,3.5,13.5
2024-06-03 02:00:31,3.75,13.75
2024-06-03 02:15:32,4.0,14.0
2024-06-03 02:30:34,4.25,14.25
2024-06-03 02:45:35,4.5,14.5
2024-06-03 03:00:36,4.75,14.75
2024-06-03 03:15:39,5.0,15.0
2024-06-03 03:30:40,5.25,15.25
2024-06-03 03:45:41,5.5,15.5
2024-06-03 04:00:43,5.75,15.75
2024-06-03 04:15:44,6.0,16.0
2024-06-03 04:30:45,6.25,16.25
2024-06-03 04:45:47,6.5,13.0
2024-06-03 05:00:48,0.5,13.25
2024-06-03 05:15:49,0.5,13.5
2024-06-03 05:30:51,0.5,13.75
2024-06-03 05:45:52,0.5,14.0
2024-06-03 06:00:54,0.5,14.25
2024-06-03 06:15:55,0.5,14.5
2024-06-03 06:30:56,0.75,14.75
2024-06-03 06:45:57,0.5,15.0
2024-06-03 07:00:59,0.5,15.25
2024-06-03 07:16:00,0.5,15.5
2024-06-03 07:31:02,0.75,15.75
2024-06-03 07:46:03,1.0,16.0
2024-06-03 08:01:04,1.25,16.25
2024-06-03 08:16:05,1.5,1.25
2024-06-03 08:31:07,1.75,1.5
2024-06-03 08:46:08,2.0,1.75
2024-06-03 09:01:10,1.5,2.0
2024-06-03 09:16:11,1.75,2.25
2024-06-03 09:31:13,2.0,2.5
2024-06-03 09:46:14,2.25,2.75
2024-06-03 10:01:15,2.5,3.0
2024-06-03 10:16:16,2.75,3.25
2024-06-03 10:31:18,3.0,3.5
2024-06-03 10:46:19,3.0,3.75
2024-06-03 11:01:20,3.25,4.0
2024-06-03 11:16:22,3.5,4.25
2024-06-03 11:31:23,3.0,1.5
2024-06-03 11:46:24,3.25,1.75
2024-06-03 12:01:26,3.5,2.0
2024-06-03 12:16:27,3.75,2.0
2024-06-03 12:31:28,4.0,2.25
2024-06-03 12:46:29,4.25,2.5
2024-06-03 13:01:31,4.5,2.75
2024-06-03 13:16:32,2.5,3.0
2024-06-03 13:31:34,2.75,3.25
2024-06-03 13:46:35,3.0,3.5
2024-06-03 14:01:36,3.25,3.75
2024-06-03 14:16:38,3.5,4.0
2024-06-03 14:31:39,3.25,4.25
2024-06-03 14:46:41,3.5,4.5
2024-06-03 15:01:42,3.75,4.75
2024-06-03 15:16:43,4.0,5.0
2024-06-03 15:31:44,4.25,5.25
2024-06-03 15:46:46,3.5,5.5
2024-06-03 16:01:47,3.75,5.75
2024-06-03 16:16:48,3.5,6.0
2024-06-03 16:31:49,3.75,6.25
2024-06-03 16:46:52,3.75,6.5
2024-06-03 17:01:53,4.0,6.75
2024-06-03 17:16:54,4.25,6.5
2024-06-03 17:31:56,4.5,6.75
2024-06-03 17:46:57,4.75,7.0
2024-06-03 18:01:59,5.0,7.25
2024-06-03 18:17:00,5.25,7.5
2024-06-03 18:32:01,5.5,7.75
2024-06-03 18:47:03,4.0,8.25
2024-06-03 19:02:04,4.25,8.5
2024-06-03 19:17:06,4.25,8.5
2024-06-03 19:32:07,4.5,8.75
2024-06-03 19:47:08,4.75,9.0
2024-06-03 20:02:09,5.0,9.25
2024-06-03 20:17:10,5.5,9.75
2024-06-03 20:32:12,5.75,10.0
2024-06-03 20:47:13,6.0,10.25
2024-06-03 21:02:15,6.0,10.25
2024-06-03 21:17:16,6.25,10.5
2024-06-03 21:32:18,6.5,10.75
2024-06-03 21:47:20,6.75,11.0
2024-06-03 22:02:21,5.75,11.5
2024-06-03 22:17:22,5.75,11.5
2024-06-03 22:32:23,4.25,12.0
2024-06-03 22:47:25,4.25,12.0
2024-06-03 23:02:26,4.5,12.5
2024-06-03 23:17:28,4.75,12.75
2024-06-03 23:32:30,5.0,13.0
2024-06-03 23:47:31,5.25,13.25
2024-06-04 00:02:33,5.5,13.5
2024-06-04 00:17:34,5.75,13.75
2024-06-04 01:02:02,6.25,14.25
2024-06-04 01:17:04,6.5,14.5
2024-06-04 01:32:05,6.75,13.5
2024-06-04 01:47:06,7.0,11.25
2024-06-04 02:02:08,7.5,11.75
2024-06-04 02:17:10,7.75,12.0
2024-06-04 02:32:12,8.0,12.25
2024-06-04 02:47:13,8.25,12.0
2024-06-04 03:02:15,8.25,12.0
2024-06-04 03:17:16,8.5,12.25
2024-06-04 03:32:18,9.0,12.75
2024-06-04 03:47:19,9.25,13.0
2024-06-04 04:02:20,9.5,13.25
2024-06-04 04:17:27,9.75,13.5
2024-06-04 04:32:29,9.75,13.5
2024-06-04 04:47:30,10.25,14.0
2024-06-04 05:02:31,10.5,14.25
2024-06-04 05:17:33,10.75,14.5
2024-06-04 05:32:34,11.0,14.75
2024-06-04 05:47:35,11.25,14.0
2024-06-04 06:02:37,11.5,13.5
2024-06-04 06:17:38,11.75,13.75
2024-06-04 06:32:40,12.0,14.0
2024-06-04 06:47:41,12.25,14.25
2024-06-04 07:02:43,12.5,14.5
2024-06-04 07:17:44,12.75,14.75
2024-06-04 07:32:45,13.0,15.0
2024-06-04 07:47:47,13.25,15.25
2024-06-04 08:02:48,13.5,15.5
2024-06-04 08:17:49,11.25,12.25
2024-06-04 08:32:51,11.5,12.5
2024-06-04 08:47:52,11.5,12.5
2024-06-04 09:02:53,6.5,12.75
2024-06-04 09:17:55,6.75,13.0
2024-06-04 09:32:56,7.0,9.75
2024-06-04 09:47:57,3.25,10.0
2024-06-04 10:02:58,3.75,10.5
2024-06-04 10:18:00,3.75,10.5
2024-06-04 10:33:01,4.0,10.75
2024-06-04 10:48:02,4.5,11.25
2024-06-04 11:03:04,4.75,11.5
2024-06-04 11:18:05,3.5,11.75
2024-06-04 11:33:06,3.5,11.75
2024-06-04 11:48:07,4.0,12.25
2024-06-04 12:03:09,3.75,12.5
2024-06-04 12:18:10,3.75,12.5
2024-06-04 12:33:11,4.0,2.5
2024-06-04 12:48:13,4.25,2.75
2024-06-04 13:03:14,4.25,2.75
2024-06-04 13:18:15,4.75,3.25
2024-06-04 13:33:17,4.25,3.5
2024-06-04 13:48:18,4.5,3.75
2024-06-04 14:03:19,4.5,3.75
2024-06-04 14:18:20,4.0,4.25
2024-06-04 14:33:22,4.25,4.5
2024-06-04 14:48:23,4.5,4.75
2024-06-04 15:03:24,4.5,5.0
2024-06-04 15:18:26,4.75,5.25
2024-06-04 15:33:27,5.0,5.5
2024-06-04 15:48:28,5.25,5.75
2024-06-04 16:03:29,5.25,5.75
2024-06-04 16:18:31,5.75,6.25
2024-06-04 16:33:32,5.5,6.5
2024-06-04 16:48:33,5.75,6.75
2024-06-04 17:03:35,6.25,7.0
2024-06-04 17:18:36,6.5,7.25
2024-06-04 17:33:37,6.5,7.5
2024-06-04 17:48:38,5.5,7.5
2024-06-04 18:03:40,5.75,7.75
2024-06-04 18:18:41,6.0,8.0
2024-06-04 18:33:42,6.25,8.25
2024-06-04 18:48:43,6.0,8.5
2024-06-04 19:03:45,6.25,8.75
2024-06-04 19:18:46,6.5,9.0
2024-06-04 19:33:47,6.75,9.25
2024-06-04 19:48:49,7.0,9.5
2024-06-04 20:03:50,7.0,9.75
2024-06-04 20:18:51,7.25,9.25
2024-06-04 20:33:53,7.5,7.25
2024-06-04 20:48:54,7.0,7.5
2024-06-04 21:03:56,7.25,7.75
2024-06-04 21:18:58,7.5,8.0
2024-06-04 21:33:59,7.75,8.0
2024-06-04 21:49:00,8.0,8.25
2024-06-04 22:04:02,7.25,8.5
2024-06-04 22:19:03,7.5,7.25
2024-06-04 22:34:04,7.75,7.5
2024-06-04 22:49:05,8.0,7.75
2024-06-04 23:04:07,8.0,6.5
2024-06-04 23:19:08,8.25,6.75
2024-06-04 23:34:09,8.5,7.0
2024-06-04 23:49:10,8.75,7.25
2024-06-05 00:04:12,9.0,7.5
2024-06-05 00:19:13,9.25,7.75
2024-06-05 00:34:14,9.5,6.75
2024-06-05 00:49:15,9.75,7.0
2024-06-05 01:04:17,10.0,4.75
2024-06-05 01:19:18,10.25,5.0
2024-06-05 01:34:19,10.5,5.25
2024-06-05 01:49:20,10.75,5.5
2024-06-05 02:04:22,11.0,5.75
2024-06-05 02:19:23,11.25,6.0
2024-06-05 02:34:24,11.5,6.25
2024-06-05 02:49:25,11.75,6.5
2024-06-05 03:04:26,12.0,6.75
2024-06-05 03:19:27,12.25,7.0
2024-06-05 03:34:29,12.5,7.25
2024-06-05 03:49:30,12.75,7.5
2024-06-05 04:04:31,13.0,7.75
2024-06-05 04:19:33,13.25,7.25
2024-06-05 04:34:34,13.25,7.25
2024-06-05 04:49:35,13.25,7.25
2024-06-05 05:04:36,13.25,7.25
2024-06-05 05:19:37,13.25,7.25
2024-06-05 05:34:39,13.25,7.25
2024-06-05 05:49:40,13.25,7.25
2024-06-05 06:04:41,13.25,7.25
2024-06-05 06:19:43,13.25,7.25
2024-06-05 06:34:44,1.75,8.0
2024-06-05 06:49:45,0.5,8.25
2024-06-05 07:04:46,0.75,8.5
2024-06-05 07:19:48,1.0,8.75
2024-06-05 07:34:49,1.25,9.0
2024-06-05 07:49:51,1.5,9.25
2024-06-05 08:04:52,0.5,9.5
2024-06-05 08:19:53,0.5,9.75
2024-06-05 08:34:55,0.5,10.0
2024-06-05 08:49:56,0.75,10.25
2024-06-05 09:04:58,1.0,10.5
2024-06-05 09:19:59,1.25,10.75
2024-06-05 09:35:01,1.5,11.0
2024-06-05 09:50:02,0.75,11.25
2024-06-05 10:05:04,0.5,11.5
2024-06-05 10:20:06,0.75,5.75
2024-06-05 10:35:07,1.0,6.0
2024-06-05 10:50:09,1.25,6.25
2024-06-05 11:05:10,1.5,6.5
2024-06-05 11:20:11,1.75,6.75
2024-06-05 11:35:12,2.0,7.0
2024-06-05 11:50:14,2.0,7.25
2024-06-05 12:05:15,1.75,7.5
2024-06-05 12:20:16,2.0,2.0
2024-06-05 12:35:18,2.25,2.25
2024-06-05 12:50:20,2.5,2.5
2024-06-05 13:05:22,2.75,2.75
2024-06-05 13:20:23,3.0,3.0
2024-06-05 13:35:24,3.25,3.25
2024-06-05 13:50:26,3.5,3.25
2024-06-05 14:05:27,3.75,3.5
2024-06-05 14:20:28,4.0,3.75
2024-06-05 14:35:30,4.25,4.0
2024-06-05 14:50:31,4.5,4.25
2024-06-05 15:05:32,4.75,4.5
2024-06-05 15:20:34,5.0,4.75
2024-06-05 15:35:35,5.25,5.0
2024-06-05 15:50:36,5.5,5.25
2024-06-05 16:05:37,5.75,5.5
2024-06-05 16:20:39,6.0,5.75
2024-06-05 16:35:40,6.25,5.0
2024-06-05 16:50:42,6.0,5.25
2024-06-05 17:05:43,6.25,5.0
2024-06-05 17:20:44,6.5,5.25
2024-06-05 17:35:45,6.0,5.5
2024-06-05 17:50:47,5.0,5.75
2024-06-05 18:05:48,5.25,6.0
2024-06-05 18:20:49,5.5,6.25
2024-06-05 18:35:51,5.75,6.5
2024-06-05 18:50:52,6.0,6.75
2024-06-05 19:05:53,6.25,7.0
2024-06-05 19:20:55,6.5,7.25
2024-06-05 19:35:56,6.75,7.5
2024-06-05 19:50:57,7.0,7.75
2024-06-05 20:05:58,7.25,8.0
2024-06-05 20:21:00,3.75,8.25
2024-06-05 20:36:02,4.0,8.5
2024-06-05 20:51:03,4.25,8.75
2024-06-05 21:06:04,4.5,9.0
2024-06-05 21:21:06,4.75,9.25
2024-06-05 21:36:07,5.0,9.5
2024-06-05 21:51:08,5.0,9.75
2024-06-05 22:06:09,5.25,10.0
2024-06-05 22:21:10,5.5,8.25
2024-06-05 22:36:11,5.75,8.5
2024-06-05 22:51:13,6.0,8.75
2024-06-05 23:06:14,5.75,9.0
2024-06-05 23:21:16,6.0,9.25
2024-06-05 23:36:17,6.25,9.5
2024-06-05 23:51:18,6.5,9.75
2024-06-06 00:06:20,6.75,9.0
2024-06-06 00:21:21,7.0,9.25
2024-06-06 00:36:23,7.25,9.5
2024-06-06 00:51:24,7.5,9.75
2024-06-06 01:06:26,7.75,7.0
2024-06-06 01:21:27,8.0,7.25
2024-06-06 01:36:29,8.25,7.5
2024-06-06 01:51:30,8.5,7.75
2024-06-06 02:06:32,8.75,8.0
2024-06-06 02:21:33,9.0,8.25
2024-06-06 02:36:35,9.25,8.5
2024-06-06 02:51:36,9.5,8.75
2024-06-06 03:06:37,9.75,9.0
2024-06-06 03:21:39,9.5,9.25
2024-06-06 03:36:40,9.75,9.5
2024-06-06 03:51:41,10.0,9.75
2024-06-06 04:06:43,10.25,5.75
2024-06-06 04:21:44,9.5,6.0
2024-06-06 04:36:45,9.5,6.25
2024-06-06 04:51:47,9.25,6.5
2024-06-06 05:06:48,9.5,3.5
2024-06-06 05:21:49,9.75,3.75
2024-06-06 05:36:51,10.0,4.0
2024-06-06 05:51:52,10.25,4.25
2024-06-06 06:06:53,10.5,4.5
2024-06-06 06:21:55,10.75,4.75
2024-06-06 06:36:56,11.0,5.0
2024-06-06 06:51:57,11.25,0.75
2024-06-06 07:06:59,11.5,1.0
2024-06-06 07:22:00,11.75,0.5
2024-06-06 07:37:02,12.0,0.75
2024-06-06 07:52:03,12.25,1.0
2024-06-06 08:07:04,12.5,1.25
2024-06-06 08:22:05,12.75,1.5
2024-06-06 08:37:07,13.0,1.25
2024-06-06 08:52:08,13.25,1.5
2024-06-06 09:07:09,13.5,1.75
2024-06-06 09:22:12,8.25,2.0
2024-06-06 09:37:13,7.0,2.25
2024-06-06 09:52:15,7.25,2.5
2024-06-06 10:07:16,7.5,2.75
2024-06-06 10:22:17,7.75,3.0
2024-06-06 10:37:18,7.5,3.25
2024-06-06 10:52:20,7.75,3.5
2024-06-06 11:07:21,8.0,3.5
2024-06-06 11:22:23,8.25,3.75
2024-06-06 11:37:24,8.5,4.0
2024-06-06 11:52:25,8.75,4.25
2024-06-06 12:07:26,9.0,2.5
2024-06-06 12:22:28,9.25,2.75
2024-06-06 12:37:29,9.5,3.0
2024-06-06 12:52:30,9.75,3.25
2024-06-06 13:07:32,10.0,3.5
2024-06-06 13:22:33,10.25,3.75
2024-06-06 13:37:34,10.5,4.0
2024-06-06 13:52:36,10.75,4.25
2024-06-06 14:07:37,11.0,4.5
2024-06-06 14:22:38,11.25,4.75
2024-06-06 14:37:40,11.5,5.0
2024-06-06 14:52:41,11.75,4.75
2024-06-06 15:07:42,12.0,5.0
2024-06-06 15:22:44,12.25,5.25
2024-06-06 15:37:45,12.5,5.5
2024-06-06 15:52:46,12.75,5.75
2024-06-06 16:07:47,13.0,6.0
2024-06-06 16:22:49,7.25,6.25
2024-06-06 16:37:50,7.5,6.5
2024-06-06 16:52:51,7.75,6.75
2024-06-06 17:07:52,8.0,7.0
2024-06-06 17:22:54,7.25,7.25
2024-06-06 17:37:56,7.5,7.5
2024-06-06 17:52:57,7.75,7.75
2024-06-06 18:07:58,8.0,8.0
2024-06-06 18:22:59,8.25,8.25
2024-06-06 18:38:01,8.5,8.5
2024-06-06 18:53:02,6.5,8.75
2024-06-06 19:08:03,6.75,9.0
2024-06-06 19:23:04,7.0,6.75
2024-06-06 19:38:05,6.75,7.0
2024-06-06 19:53:07,7.0,7.25
2024-06-06 20:08:08,7.25,7.5
2024-06-06 20:23:09,7.5,7.75
2024-06-06 20:38:10,7.75,8.0
2024-06-06 20:53:12,8.0,8.25
2024-06-06 21:08:13,8.25,8.5
2024-06-06 21:23:14,8.5,8.75
2024-06-06 21:38:15,8.75,9.0
2024-06-06 21:53:17,9.0,9.25
2024-06-06 22:08:18,8.0,9.5
2024-06-06 22:23:19,8.25,9.75
2024-06-06 22:38:21,8.5,10.0
2024-06-06 22:53:22,8.75,10.25
